_AX_DATATABLES.NAME.LABEL_:Agents_Metaphor|_AX_DATATABLES.SIZE.LABEL_:7.17 KB|_AX_DATATABLES.RECORDS.LABEL_:41 enregistrements
_AX_DATATABLES.NAME.LABEL_:AllDateTimeFormats|_AX_DATATABLES.SIZE.LABEL_:21.31 KB|_AX_DATATABLES.RECORDS.LABEL_:20 enregistrements
_AX_DATATABLES.NAME.LABEL_:AllReservedWordTable|_AX_DATATABLES.SIZE.LABEL_:112.26 KB|_AX_DATATABLES.RECORDS.LABEL_:53 enregistrements
_AX_DATATABLES.NAME.LABEL_:AllReservedWordTableLCase|_AX_DATATABLES.SIZE.LABEL_:112.26 KB|_AX_DATATABLES.RECORDS.LABEL_:53 enregistrements
_AX_DATATABLES.NAME.LABEL_:Ap_Trans|_AX_DATATABLES.SIZE.LABEL_:5.88 KB|_AX_DATATABLES.RECORDS.LABEL_:102 enregistrements
_AX_DATATABLES.NAME.LABEL_:Ar|_AX_DATATABLES.SIZE.LABEL_:30.16 KB|_AX_DATATABLES.RECORDS.LABEL_:772 enregistrements
_AX_DATATABLES.NAME.LABEL_:Badfile|_AX_DATATABLES.SIZE.LABEL_:1.5 KB|_AX_DATATABLES.RECORDS.LABEL_:20 enregistrements
_AX_DATATABLES.NAME.LABEL_:Computed_Fields|_AX_DATATABLES.SIZE.LABEL_:0|_AX_DATATABLES.RECORDS.LABEL_:0 enregistrements
_AX_DATATABLES.NAME.LABEL_:Customer|_AX_DATATABLES.SIZE.LABEL_:5.94 KB|_AX_DATATABLES.RECORDS.LABEL_:64 enregistrements
_AX_DATATABLES.NAME.LABEL_:DataType1|_AX_DATATABLES.SIZE.LABEL_:125 KB|_AX_DATATABLES.RECORDS.LABEL_:500 enregistrements
_AX_DATATABLES.NAME.LABEL_:datatype2|_AX_DATATABLES.SIZE.LABEL_:67.87 KB|_AX_DATATABLES.RECORDS.LABEL_:500 enregistrements
_AX_DATATABLES.NAME.LABEL_:DateOnlyFormats|_AX_DATATABLES.SIZE.LABEL_:2.89 KB|_AX_DATATABLES.RECORDS.LABEL_:20 enregistrements
