NAME:Agents_Metaphor|SIZE:7.17 KB|RECORDS:41 records
NAME:AllDateTimeFormats|SIZE:21.31 KB|RECORDS:20 records
NAME:AllReservedWordTable|SIZE:112.26 KB|RECORDS:53 records
NAME:AllReservedWordTableLCase|SIZE:112.26 KB|RECORDS:53 records
NAME:Ap_Trans|SIZE:5.88 KB|RECORDS:102 records
NAME:Ar|SIZE:30.16 KB|RECORDS:772 records
NAME:Badfile|SIZE:1.5 KB|RECORDS:20 records
NAME:Computed_Fields|SIZE:0|RECORDS:0 records
NAME:Customer|SIZE:5.94 KB|RECORDS:64 records
NAME:DataType1|SIZE:125 KB|RECORDS:500 records
NAME:datatype2|SIZE:67.87 KB|RECORDS:500 records
NAME:DateOnlyFormats|SIZE:2.89 KB|RECORDS:20 records
NAME:dates|SIZE:4 KB|RECORDS:33 records
NAME:DateTimeMixed|SIZE:291.5 KB|RECORDS:500 records
NAME:Demo|SIZE:39.06 KB|RECORDS:500 records
NAME:Dept|SIZE:286 B|RECORDS:11 records
NAME:EBCDIC_Inventory|SIZE:0|RECORDS:0 records
NAME:EmpList_Date_char|SIZE:12.3 KB|RECORDS:200 records
NAME:EmpList_num_char|SIZE:14.26 KB|RECORDS:200 records
NAME:EmpList_num_char_date_log|SIZE:16.21 KB|RECORDS:200 records
NAME:EmpList_num_date|SIZE:5.86 KB|RECORDS:200 records
NAME:Employee_DATE|SIZE:16.41 KB|RECORDS:200 records
NAME:Employee_DATETIME|SIZE:16.41 KB|RECORDS:200 records
NAME:Employee_forFIELDtest|SIZE:16.41 KB|RECORDS:200 records
NAME:Employee_List|SIZE:16.21 KB|RECORDS:200 records
NAME:employees|SIZE:14.26 KB|RECORDS:200 records
NAME:Empmast|SIZE:9.68 KB|RECORDS:42 records
NAME:extChar|SIZE:94.73 KB|RECORDS:200 records
NAME:Inventory|SIZE:14.4 KB|RECORDS:152 records
NAME:Inventory_01_an11|SIZE:14.4 KB|RECORDS:152 records
NAME:Inventory_01_an12|SIZE:14.4 KB|RECORDS:152 records
NAME:Inventory_01_an14|SIZE:14.4 KB|RECORDS:152 records
NAME:many_fields|SIZE:177.84 KB|RECORDS:42 records
NAME:Metaphor_AR_2002|SIZE:33.93 KB|RECORDS:772 records
NAME:Metaphor_AR_2002_an11|SIZE:45.99 KB|RECORDS:772 records
NAME:Metaphor_AR_2002_an12|SIZE:45.99 KB|RECORDS:772 records
NAME:Metaphor_AR_2002_an14|SIZE:45.99 KB|RECORDS:772 records
NAME:Metaphor_Customers_US|SIZE:7.25 KB|RECORDS:64 records
NAME:Metaphor_Dept|SIZE:242 B|RECORDS:11 records
NAME:Metaphor_Dept2|SIZE:242 B|RECORDS:11 records
NAME:Metaphor_EmpMast|SIZE:11.12 KB|RECORDS:42 records
NAME:Metaphor_EmpMast_an11|SIZE:11.12 KB|RECORDS:42 records
NAME:Metaphor_EmpMast_an12|SIZE:11.12 KB|RECORDS:42 records
NAME:Metaphor_EmpMast_an14|SIZE:11.12 KB|RECORDS:42 records
NAME:Metaphor_Inventory_2002|SIZE:24.05 KB|RECORDS:152 records
NAME:Metaphor_Inventory_2002_an11|SIZE:24.05 KB|RECORDS:152 records
NAME:Metaphor_Inventory_2002_an12|SIZE:24.05 KB|RECORDS:152 records
NAME:Metaphor_Inventory_2002_an14|SIZE:24.05 KB|RECORDS:152 records
NAME:Metaphor_Trans_2002|SIZE:18.21 KB|RECORDS:339 records
NAME:Metaphor_Trans_2002_an11|SIZE:18.21 KB|RECORDS:339 records
NAME:Metaphor_Trans_2002_an12|SIZE:18.21 KB|RECORDS:339 records
NAME:Metaphor_Trans_2002_an14|SIZE:18.21 KB|RECORDS:339 records
NAME:Metaphor_Trans_All|SIZE:29.44 KB|RECORDS:201 records
NAME:Metaphor_Trans_All_an11|SIZE:29.44 KB|RECORDS:201 records
NAME:Metaphor_Trans_All_an12|SIZE:29.44 KB|RECORDS:201 records
NAME:Metaphor_Trans_All_an14|SIZE:29.44 KB|RECORDS:201 records
NAME:NegNum|SIZE:273.44 KB|RECORDS:500 records
